date,1. open,2. high,3. low,4. close,5. volume
2025-02-24 14:00:00,436.29,436.9,436.28,436.5,68023.0
2025-02-24 13:45:00,436.69,436.73,436.09,436.31,63812.0
2025-02-24 13:30:00,436.44,436.78,436.36,436.7,67367.0
2025-02-24 13:15:00,436.18,436.76,436.15,436.48,48612.0
2025-02-24 13:00:00,436.01,436.49,435.95,436.1,53187.0
2025-02-24 12:45:00,436.5,436.65,436.04,436.09,86220.0
2025-02-24 12:30:00,435.97,436.46,435.87,436.46,51675.0
2025-02-24 12:15:00,435.85,436.4113,435.85,436.0,53410.0
2025-02-24 12:00:00,435.4,435.91,435.31,435.7908,53487.0
2025-02-24 11:45:00,435.68,435.94,435.31,435.4,102573.0
2025-02-24 11:30:00,435.72,436.06,435.21,435.65,118470.0
2025-02-24 11:15:00,434.96,435.9,434.84,435.66,177650.0
2025-02-24 11:00:00,434.25,434.98,434.13,434.95,194235.0
2025-02-24 10:45:00,434.45,435.0,433.71,434.19,163932.0
2025-02-24 10:30:00,434.64,434.88,434.14,434.42,160258.0
2025-02-24 10:15:00,434.73,435.19,434.53,434.63,148048.0
2025-02-24 10:00:00,434.33,434.83,433.345,434.75,282401.0
2025-02-24 09:45:00,435.47,435.5,434.32,434.39,194528.0
2025-02-24 09:30:00,435.83,436.4,434.97,435.34,376676.0
2025-02-24 09:15:00,436.33,436.55,435.83,435.83,29664.0
2025-02-24 09:00:00,436.46,436.54,436.05,436.33,6271.0
2025-02-24 08:45:00,436.6,436.74,434.15,436.41,2896.0
2025-02-24 08:30:00,436.73,436.775,436.48,436.6,4270.0
2025-02-24 08:15:00,436.96,436.99,434.15,436.7003,5770.0
2025-02-24 08:00:00,437.21,437.3199,434.15,436.95,17846.0
2025-02-24 07:45:00,437.0,437.04,436.91,436.94,1205.0
2025-02-24 07:30:00,437.1,437.32,437.05,437.06,10025.0
2025-02-24 07:15:00,437.0,437.13,437.0,437.09,10407.0
