date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2000-02-01,27.1119130657,36.7000091157,50.9628441162,0.767324888024,28.1915690817,12.1187597131,18.76223493,43.169243417,16.0725934052,,70.7347948392,40.1529662231,27.816837901,64.6019593633,31.0618523569,24.4415570369,28.5901175677,21.110087062,32.7696119734,32.6244043512,4.44583119908,27.9907637698,,16.7427504877,5.66511380917,20.041891235,,19.7691908464,39.6155129479,27.9977104259
2000-02-02,26.6424302409,35.6576419929,49.7455414547,0.756302964445,28.7586223569,12.1889076623,18.6359354762,41.7400409609,15.5887289899,,70.6417737391,39.3434306138,28.1857770142,66.6574762522,30.6513702843,24.5683614833,28.1224344505,20.458861335,32.7994762208,31.949351104,4.51724635006,27.7460204082,,15.9258916273,5.81496252125,19.9577664397,,19.8583958034,39.4062642,28.969853149
2000-02-03,26.4091289599,35.3753342304,49.9406220095,0.790746475628,27.9918116779,11.8718389317,18.3675491369,43.169243417,15.2762908246,,66.1845126945,39.1815234919,27.816837901,68.7834680057,31.9287659877,24.0092691516,28.3989478263,20.1707083584,32.5306979947,32.8399143081,4.55914323864,27.515342757,,15.2118541619,5.76293171844,19.665012152,,19.8172242848,39.4062642,29.4598130814
2000-02-04,25.6516198622,35.0495945045,50.4322250074,0.826644268395,28.3526637621,11.8718389317,17.7180090888,44.3785685721,15.5527847762,,65.6496413691,39.5830531541,27.7465637842,67.9025321963,32.1126168475,23.6692026818,27.9073684915,20.2398650728,32.02300579,33.7716779451,4.44583119908,26.6545212782,,15.2804017586,5.90549611812,19.7053920538,,20.0299437975,38.0090225609,29.6542416261
2000-02-07,25.239742292,35.2667543218,53.9904943255,0.873028196788,26.9414743613,11.5744116268,17.8307764583,45.8810634618,15.7269759657,,66.471327753,38.2100807607,26.3527938009,67.0215963868,33.0625129566,23.4703502546,28.0575732882,20.1361300012,32.1040658899,33.7906935295,4.3087141092,26.2325499651,,15.2118541619,6.0553448302,20.1058260795,,19.8583958034,37.6310248227,29.5531387829
2000-02-08,25.2570238684,35.3970502122,55.0127164323,0.879228028801,26.4195275965,11.5042636776,17.6616254041,46.1009407628,15.8126890907,,69.3317265799,39.5053377356,26.4991982109,69.8464638825,33.3382892463,23.6490292472,29.0373182126,20.925669157,32.1851259898,34.8428892012,3.5231474484,26.935835487,,15.0290605708,5.82744991392,19.8534516935,,20.6749642555,40.1622596763,29.2109445443
2000-02-09,25.239742292,34.0072273817,52.1333274446,0.862006273209,25.2209831739,10.9795570172,16.9151054183,47.2003272674,15.7601552399,,67.2465035869,38.0481736388,25.6207717509,68.9999113365,32.0513332276,23.0553538846,28.2931217195,20.6778575971,30.4529996441,32.9603463428,3.21368179415,26.4435356217,,14.5320904949,5.61308300637,19.4530176679,,20.54458778,39.0215165023,29.3120473875
2000-02-10,24.7702594672,33.5511917655,50.8692054499,0.868741893174,25.7060020811,10.6793237944,17.3233232957,49.8022086618,15.6744421149,,67.1534824868,38.5727527137,25.3279629309,70.0287078334,32.9705875267,22.4789700375,28.3784653541,20.458861335,29.4376152346,33.5941991571,3.21368179415,25.7233712473,,13.995134321,6.02308573246,19.2006432819,,21.0180602438,38.4747697739,28.7287617536
2000-02-11,23.8888990722,33.3340319483,48.8715805696,0.832384853592,25.790072025,10.1013046925,16.6895706794,47.9698978207,15.3620039496,,65.990718736,38.8965669574,24.7423452909,67.8241439115,32.4496767572,22.3982762989,28.2043643396,20.1361300012,27.8377448414,31.6736251298,3.23748684448,26.3732070695,,13.9265867243,5.82744991392,18.8439541498,,20.3318682672,37.8402735706,29.4598130814
2000-02-14,23.8716174958,33.4426118569,50.7677635615,0.886422895581,24.7359642667,10.8392611187,16.646719079,47.8233129534,14.9666175989,,67.0527096284,39.0584740793,24.9648799941,68.2297836732,33.675349156,22.4532307475,26.9890709839,19.5252456909,28.1833168463,31.5722086795,3.07656470427,25.8471494992,,13.8523268279,5.91902412685,18.6117697147,,20.455382823,39.7437621805,28.7754246044
